                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2015,                 3.4643,                 1.4287,                0.01275,                0.97452,                0.05489,                0.02941,                 1.5416,                 3.2234,                0.97488,                0.00038,                0.00038,                0.00038
                      2,                 1.4107,                 1.6011,                 1.0292,                0.01233,                0.94268,                0.04523,                 0.0284,                 1.1702,                 3.1669,                0.92958,             0.00076456,             0.00076456,             0.00076456
                      3,                 1.3572,                 1.3717,                0.99693,                0.01225,                0.93631,                0.10622,                0.07219,                 1.0793,                 3.0146,                0.91725,              0.0011333,              0.0011333,              0.0011333
                      4,                 1.1646,                 1.2068,                0.95006,                0.86521,                0.89946,                0.88234,                0.59444,                  1.127,                 1.5777,                 0.9655,              0.0014861,              0.0014861,              0.0014861
                      5,                 1.3056,                 1.2046,                0.95996,                0.86358,                0.92734,                0.90489,                0.60819,                 1.1069,                 1.1847,                0.94967,              0.0018232,              0.0018232,              0.0018232
                      6,                 1.2613,                 1.1093,                0.95068,                0.90441,                0.92994,                0.90978,                0.65586,                 1.0358,                  1.037,                0.94819,               0.001802,               0.001802,               0.001802
                      7,                 1.2312,                 1.0686,                0.94268,                0.87523,                 0.9383,                0.91515,                0.63977,                 1.0107,                 1.1229,                0.92212,               0.001802,               0.001802,               0.001802
                      8,                 1.1314,                 0.9717,                0.93567,                0.93043,                0.93705,                0.91769,                0.68507,                0.92865,                0.87993,                0.89976,              0.0017624,              0.0017624,              0.0017624
                      9,                  1.131,                0.94848,                0.93044,                0.91154,                0.93631,                0.92831,                0.67114,                 1.0216,                0.95046,                0.94445,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1357,                 1.0095,                0.92098,                 0.9093,                0.93631,                0.91415,                0.61725,                 1.0765,                0.90644,                0.95119,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0906,                0.90746,                0.91533,                0.91525,                  0.963,                0.92891,                0.67445,                 0.9085,                0.78338,                0.90223,              0.0016436,              0.0016436,              0.0016436
                     12,                   1.07,                0.95386,                0.94113,                0.90276,                0.94614,                0.92453,                 0.6977,                0.94404,                0.88823,                0.90444,               0.001604,               0.001604,               0.001604
                     13,                 1.0917,                0.91848,                0.91676,                 0.9433,                0.95367,                0.93922,                0.71917,                0.88304,                0.83774,                0.88735,              0.0015644,              0.0015644,              0.0015644
                     14,                 0.9932,                 0.7648,                0.89367,                0.93338,                0.96815,                0.94279,                0.73079,                0.81688,                0.98476,                0.87384,              0.0015248,              0.0015248,              0.0015248
                     15,                 0.9173,                0.79248,                0.89186,                 0.9208,                0.96178,                0.94258,                0.74139,                0.80842,                0.76127,                 0.8721,              0.0014852,              0.0014852,              0.0014852
                     16,                0.98356,                0.79899,                0.90572,                0.93057,                0.95541,                0.95058,                0.73871,                0.82158,                 0.6702,                0.87469,              0.0014456,              0.0014456,              0.0014456
                     17,                0.96965,                0.75688,                0.88757,                0.93342,                0.96178,                0.94473,                0.75434,                 0.7852,                0.67399,                0.86031,               0.001406,               0.001406,               0.001406
                     18,                0.94213,                0.73211,                 0.8778,                0.93041,                0.96178,                0.93447,                0.74433,                 0.8099,                0.67666,                0.86497,              0.0013664,              0.0013664,              0.0013664
                     19,                0.93216,                0.71249,                0.88599,                0.93705,                0.96178,                0.92977,                 0.7411,                0.79655,                0.65924,                 0.8597,              0.0013268,              0.0013268,              0.0013268
                     20,                 0.9296,                 0.7342,                0.88408,                 0.9367,                0.96178,                0.93367,                0.73577,                0.79407,                0.64665,                0.85838,              0.0012872,              0.0012872,              0.0012872
                     21,                0.89191,                0.65654,                0.86816,                0.93724,                0.96178,                0.94026,                0.75169,                0.76226,                0.63054,                0.85035,              0.0012476,              0.0012476,              0.0012476
                     22,                0.92326,                0.69669,                0.88891,                0.92438,                0.96178,                0.94136,                0.74438,                0.79794,                0.65175,                0.85809,               0.001208,               0.001208,               0.001208
                     23,                0.89044,                0.66737,                0.87557,                0.93126,                0.96178,                0.94937,                0.75698,                0.77817,                0.61487,                0.86529,              0.0011684,              0.0011684,              0.0011684
                     24,                  0.889,                0.66833,                0.88179,                0.93121,                0.96178,                0.94466,                0.76335,                0.77259,                0.61869,                0.86703,              0.0011288,              0.0011288,              0.0011288
